timestamp,header,seq,stamp,secs,nsecs,frame_id,level,name,msg,file,function,line,topics
1587852377630996292,,1,,1587852376,804925667,'',2,"""/logging/rosbag_record""","""Subscribing to /rosout""","""/home/debian/catkin_ws/src/ros_comm/rosbag/src/recorder.cpp""","""shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe""",212,[/rosout]
1587852377644209459,,2,,1587852377,196918376,'',2,"""/logging/rosbag_record""","""Subscribing to /rosout_agg""","""/home/debian/catkin_ws/src/ros_comm/rosbag/src/recorder.cpp""","""shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe""",212,[/rosout]
1587852435553735966,,1,,1587852435,344790935,'',1,"""/top/readiness_admin""","""[/top/readiness_admin/get_loggers]: new Service instance""","""tcpros_service.py""","""__init__""",569,[/rosout]
1587852437457124091,,3,,1587852437,182666063,'',1,"""/top/exec""","""... service URL is rosrpc://192.168.1.34:36559""","""tcpros_service.py""","""__init__""",565,[/rosout]
1587852437550411174,,4,,1587852437,488406896,'',1,"""/top/exec""","""[/top/exec/get_loggers]: new Service instance""","""tcpros_service.py""","""__init__""",569,[/rosout]
1587852438153434716,,1,,1587852437,819494962,'',1,"""/top/tcp_server""","""[/top/tcp_server/get_loggers]: new Service instance""","""tcpros_service.py""","""__init__""",569,[/rosout]
1587852438735168300,,3,,1587852438,720640897,'',1,"""/top/readiness_admin""","""... service URL is rosrpc://192.168.1.34:46353""","""tcpros_service.py""","""__init__""",565,[/rosout]
1587852438880748258,,4,,1587852438,848789930,'',1,"""/top/readiness_admin""","""[/top/readiness_admin/set_logger_level]: new Service instance""","""tcpros_service.py""","""__init__""",569,[/rosout]
1587852439436231633,,2,,1587852436,133516073,'',1,"""/top/watchdog""","""[/top/watchdog/get_loggers]: new Service instance""","""tcpros_service.py""","""__init__""",569,[/rosout]
1587852439619491341,,5,,1587852439,571625947,'',1,"""/top/exec""","""... service URL is rosrpc://192.168.1.34:36559""","""tcpros_service.py""","""__init__""",565,[/rosout]
1587852439759420716,,6,,1587852439,721673011,'',1,"""/top/exec""","""[/top/exec/set_logger_level]: new Service instance""","""tcpros_service.py""","""__init__""",569,[/rosout]
1587852439895541716,,3,,1587852439,841840982,'',1,"""/top/watchdog""","""... service URL is rosrpc://192.168.1.34:41881""","""tcpros_service.py""","""__init__""",565,[/rosout]
1587852440021388675,,4,,1587852439,973676919,'',1,"""/top/watchdog""","""[/top/watchdog/set_logger_level]: new Service instance""","""tcpros_service.py""","""__init__""",569,[/rosout]
1587852441008809383,,3,,1587852440,980768918,'',1,"""/top/tcp_server""","""... service URL is rosrpc://192.168.1.34:38975""","""tcpros_service.py""","""__init__""",565,[/rosout]
1587852441151131300,,4,,1587852441,131361961,'',1,"""/top/tcp_server""","""[/top/tcp_server/set_logger_level]: new Service instance""","""tcpros_service.py""","""__init__""",569,[/rosout]
1587852442076415258,,4,,1587852441,516587972,'',1,"""/hardware/injection_valve""","""[/hardware/injection_valve/set_logger_level]: new Service instance""","""tcpros_service.py""","""__init__""",569,[/rosout]
1587852443458793300,,2,,1587852442,646210908,'',1,"""/hardware/abort_valve""","""[/hardware/abort_valve/set_logger_level]: new Service instance""","""tcpros_service.py""","""__init__""",569,[/rosout]
1587852444393422759,,5,,1587852444,376830101,'',2,"""/top/tcp_server""","""Attempting to start server at 192.168.1.34:8001""","""tcp_server.py""","""<module>""",201,[/rosout]
1587852444481927050,,6,,1587852444,472745895,'',2,"""/top/tcp_server""","""Started server at 192.168.1.34:8001""","""tcp_server.py""","""<module>""",215,[/rosout]
1587852444733474592,,4,,1587852444,399693965,'',1,"""/hardware/linear_actuator""","""[/hardware/linear_actuator/set_logger_level]: new Service instance""","""tcpros_service.py""","""__init__""",569,[/rosout]
1587852447947125134,,2,,1587852446,476430892,'',1,"""/hardware/scheduler""","""[/hardware/scheduler/get_loggers]: new Service instance""","""tcpros_service.py""","""__init__""",569,[/rosout]
1587852448153512842,,7,,1587852448,124727010,'',1,"""/top/exec""","""node[/top/exec, http://192.168.1.34:34285/] entering spin(), pid[25214]""","""client.py""","""spin""",126,"[/commands, /rosout]"
1587852448402184509,,3,,1587852448,378320932,'',1,"""/hardware/scheduler""","""... service URL is rosrpc://192.168.1.34:39973""","""tcpros_service.py""","""__init__""",565,[/rosout]
1587852448429999509,,4,,1587852448,420595884,'',1,"""/hardware/scheduler""","""[/hardware/scheduler/set_logger_level]: new Service instance""","""tcpros_service.py""","""__init__""",569,[/rosout]
1587852448572977884,,3,,1587852448,544615176,'',2,"""/logging/rosbag_record""","""Subscribing to /uptime""","""/home/debian/catkin_ws/src/ros_comm/rosbag/src/recorder.cpp""","""shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe""",212,[/rosout]
1587852448741333634,,5,,1587852448,720351934,'',2,"""/hardware/injection_valve""","""Starting DC motor driver on pins P9_18, P9_17""","""motor_driver.py""","""<module>""",44,[/rosout]
1587852449126020259,,6,,1587852449,101299047,'',4,"""/hardware/injection_valve""","""0: Failed to configure. Waiting for 18 seconds before reattempt.""","""motor_driver.py""","""<module>""",56,[/rosout]
1587852449471072009,,3,,1587852449,450778007,'',2,"""/hardware/abort_valve""","""Starting DC motor driver on pins P9_11, P9_12""","""motor_driver.py""","""<module>""",44,[/rosout]
1587852449709659218,,5,,1587852449,690373897,'',1,"""/top/watchdog""","""node[/top/watchdog, http://192.168.1.34:44635/] entering spin(), pid[25198]""","""client.py""","""spin""",126,"[/commands, /rosout, /uptime]"
1587852450019491884,,4,,1587852449,986124038,'',4,"""/hardware/abort_valve""","""0: Failed to configure. Waiting for 16 seconds before reattempt.""","""motor_driver.py""","""<module>""",56,[/rosout]
1587852450964977384,,5,,1587852450,930057048,'',2,"""/hardware/linear_actuator""","""Starting DC motor driver on pins P9_24, P9_23""","""motor_driver.py""","""<module>""",44,[/rosout]
1587852451660081718,,6,,1587852451,623553991,'',4,"""/hardware/linear_actuator""","""0: Failed to configure. Waiting for 2 seconds before reattempt.""","""motor_driver.py""","""<module>""",56,[/rosout]
1587852452076950051,,7,,1587852452,63702106,'',1,"""/top/tcp_server""","""connecting to 192.168.1.34 38975""","""tcpros_base.py""","""connect""",554,"[/rosout, /requested_commands]"
1587852452173579634,,8,,1587852452,166229963,'',1,"""/top/tcp_server""","""connecting to 192.168.1.34 41881""","""tcpros_base.py""","""connect""",554,"[/rosout, /requested_commands]"
1587852452224989593,,9,,1587852452,189165115,'',1,"""/top/tcp_server""","""connecting to 192.168.1.34 36433""","""tcpros_base.py""","""connect""",554,"[/rosout, /requested_commands]"
1587852452240516884,,10,,1587852452,198250055,'',1,"""/top/tcp_server""","""connecting to 192.168.1.34 39735""","""tcpros_base.py""","""connect""",554,"[/rosout, /requested_commands]"
1587852452255034384,,11,,1587852452,201527118,'',1,"""/top/tcp_server""","""connecting to 192.168.1.34 39237""","""tcpros_base.py""","""connect""",554,"[/rosout, /requested_commands]"
1587852452404699759,,12,,1587852452,211154937,'',1,"""/top/tcp_server""","""connecting to 192.168.1.34 35891""","""tcpros_base.py""","""connect""",554,"[/rosout, /requested_commands]"
1587852452406975301,,13,,1587852452,301701068,'',1,"""/top/tcp_server""","""connecting to 192.168.1.34 41001""","""tcpros_base.py""","""connect""",554,"[/rosout, /requested_commands]"
1587852452520768551,,14,,1587852452,313477993,'',1,"""/top/tcp_server""","""connecting to 192.168.1.34 39973""","""tcpros_base.py""","""connect""",554,"[/rosout, /requested_commands]"
1587852452755544426,,15,,1587852452,323415040,'',1,"""/top/tcp_server""","""connecting to 192.168.1.34 44169""","""tcpros_base.py""","""connect""",554,"[/rosout, /requested_commands]"
1587852452843545968,,1,,1587852452,819397926,'',2,"""/hardware/solenoid""","""Starting solenoid driver on pin P9_26""","""solenoid_driver.py""","""<module>""",62,[/rosout]
1587852452845254885,,16,,1587852452,332731008,'',1,"""/top/tcp_server""","""connecting to 192.168.1.34 42701""","""tcpros_base.py""","""connect""",554,"[/rosout, /requested_commands]"
1587852452922988010,,2,,1587852452,900986909,'',2,"""/hardware/solenoid""","""Using 30 s, 30 s open-close cycle.""","""solenoid_driver.py""","""<module>""",63,[/rosout]
1587852453010362135,,17,,1587852452,336815118,'',1,"""/top/tcp_server""","""connecting to 192.168.1.34 35693""","""tcpros_base.py""","""connect""",554,"[/rosout, /requested_commands]"
1587852453060439801,,18,,1587852452,345362901,'',1,"""/top/tcp_server""","""connecting to 192.168.1.34 46105""","""tcpros_base.py""","""connect""",554,"[/rosout, /requested_commands]"
1587852453149766051,,19,,1587852452,360781908,'',1,"""/top/tcp_server""","""connecting to 192.168.1.34 36559""","""tcpros_base.py""","""connect""",554,"[/rosout, /requested_commands]"
1587852453270428551,,20,,1587852452,363356113,'',1,"""/top/tcp_server""","""connecting to 192.168.1.34 45965""","""tcpros_base.py""","""connect""",554,"[/rosout, /requested_commands]"
1587852453347757426,,21,,1587852452,385001897,'',1,"""/top/tcp_server""","""connecting to 192.168.1.34 45529""","""tcpros_base.py""","""connect""",554,"[/rosout, /requested_commands]"
1587852453401526426,,22,,1587852452,432643890,'',1,"""/top/tcp_server""","""connecting to 192.168.1.34 46353""","""tcpros_base.py""","""connect""",554,"[/rosout, /requested_commands]"
1587852453487108593,,23,,1587852452,711569070,'',1,"""/top/tcp_server""","""connecting to 192.168.1.34 32801""","""tcpros_base.py""","""connect""",554,"[/rosout, /requested_commands]"
1587852453529150260,,1,,1587852453,497385025,'',2,"""/hardware/ematch""","""Starting e-match driver on pins P9_13, P9_15""","""ematch_driver.py""","""<module>""",46,[/rosout]
1587852453537831718,,24,,1587852453,44905900,'',1,"""/top/tcp_server""","""connecting to 192.168.1.34 44869""","""tcpros_base.py""","""connect""",554,"[/rosout, /requested_commands]"
1587852453581721760,,2,,1587852453,562979936,'',2,"""/hardware/ematch""","""Using a delay of 0.3 seconds.""","""ematch_driver.py""","""<module>""",47,[/rosout]
1587852453651999510,,6,,1587852453,637449979,'',1,"""/top/readiness_admin""","""node[/top/readiness_admin, http://192.168.1.34:40467/] entering spin(), pid[25227]""","""client.py""","""spin""",126,"[/commands, /readiness_level, /rosout, /requested_commands]"
1587852454026004260,,3,,1587852454,1331090,'',4,"""/hardware/ematch""","""0: Failed to configure. Waiting for 6 seconds before reattempt.""","""ematch_driver.py""","""<module>""",59,[/rosout]
1587852454230360426,,26,,1587852454,221314907,'',1,"""/top/tcp_server""","""connecting to 192.168.1.34 37161""","""tcpros_base.py""","""connect""",554,"[/los, /rosout, /requested_commands]"
1587852454925524635,,9,,1587852454,905515909,'',1,"""/top/exec""","""connecting to 192.168.1.34 46353""","""tcpros_base.py""","""connect""",554,"[/commands, /rosout]"
1587852455173868260,,6,,1587852455,148761034,'',1,"""/hardware/scheduler""","""connecting to 192.168.1.34 46353""","""tcpros_base.py""","""connect""",554,"[/commands, /hardware/injection_valve/command, /rosout]"
1587852455306565510,,27,,1587852455,288273096,'',1,"""/top/tcp_server""","""connecting to 192.168.1.34 34673""","""tcpros_base.py""","""connect""",554,"[/los, /rosout, /requested_commands]"
1587852455346834843,,28,,1587852455,340434074,'',1,"""/top/tcp_server""","""connecting to 192.168.1.34 35333""","""tcpros_base.py""","""connect""",554,"[/los, /rosout, /requested_commands]"
1587852455705639718,,3,,1587852455,691003084,'',2,"""/hardware/solenoid""","""Success.""","""solenoid_driver.py""","""<module>""",90,"[/hardware/solenoid/command, /rosout]"
1587852455790710968,,7,,1587852455,765873908,'',1,"""/top/watchdog""","""connecting to 192.168.1.34 46353""","""tcpros_base.py""","""connect""",554,"[/commands, /rosout, /uptime]"
1587852455926303260,,29,,1587852455,914947032,'',1,"""/top/tcp_server""","""node[/top/tcp_server, http://192.168.1.34:35817/] entering spin(), pid[25205]""","""client.py""","""spin""",126,"[/los, /rosout, /requested_commands]"
1587852456061311927,,8,,1587852456,46550035,'',2,"""/hardware/linear_actuator""","""Success.""","""motor_driver.py""","""<module>""",70,"[/hardware/linear_actuator/command, /rosout]"
1587852456103170510,,9,,1587852456,88920116,'',1,"""/hardware/linear_actuator""","""node[/hardware/linear_actuator, http://192.168.1.34:38475/] entering spin(), pid[25270]""","""client.py""","""spin""",126,"[/hardware/linear_actuator/command, /rosout]"
1587852456244312093,,30,,1587852456,233210086,'',1,"""/top/tcp_server""","""connecting to 192.168.1.34 38975""","""tcpros_base.py""","""connect""",554,"[/los, /rosout, /requested_commands]"
